"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
159,0,0,0,0,0,1,1,20240415,20241207
160,1,1,1,1,1,0,0,20240415,20241207
161,0,0,0,0,0,0,0,20240415,20241207
162,1,1,1,1,1,0,0,20240415,20241207
163,0,0,0,0,0,1,1,20240415,20241207
164,1,1,1,1,1,0,0,20240415,20241207
165,0,0,0,0,0,0,0,20240415,20241207
166,0,0,0,0,0,0,0,20240415,20241207
167,0,0,0,0,0,0,0,20240415,20241207
168,0,0,0,0,0,0,0,20240415,20241207
169,0,0,0,0,0,0,0,20240415,20241207
170,0,0,0,0,0,1,0,20240415,20241207
171,0,0,0,0,0,0,0,20240415,20241207
172,0,0,0,0,0,1,0,20240415,20241207
173,0,0,0,0,0,0,1,20240415,20241207
174,0,0,0,0,0,0,0,20240415,20241207
175,0,0,0,0,0,0,1,20240415,20241207
176,0,0,0,0,0,1,0,20240415,20241207
177,0,0,0,0,0,1,1,20240415,20241207
178,0,0,0,0,0,0,0,20240415,20241207
179,0,0,0,0,0,0,0,20240415,20241207
180,0,0,0,0,1,0,0,20240415,20241207
181,0,0,0,0,1,0,0,20240415,20241207
182,1,1,1,1,1,0,0,20240415,20241207
183,0,0,0,0,0,0,0,20240415,20241207
184,0,0,0,0,1,1,0,20240415,20241207
185,0,0,0,0,0,0,0,20240415,20241207
186,0,0,0,0,0,0,0,20240415,20241207
187,0,0,0,0,0,0,0,20240415,20241207
188,0,0,0,0,0,1,0,20240415,20241207
189,0,0,0,0,0,0,1,20240415,20241207
190,1,1,1,1,0,0,0,20240415,20241207
191,1,1,1,1,0,0,0,20240415,20241207
192,0,0,0,0,0,0,0,20240415,20241207
193,0,0,0,0,0,0,0,20240415,20241207
194,1,1,1,1,1,0,0,20240415,20241207
195,1,1,1,1,1,0,0,20240415,20241207
196,1,1,1,1,1,0,0,20240415,20241207
197,1,1,1,1,1,0,0,20240415,20241207
198,0,0,0,0,0,0,0,20240415,20241207
199,0,0,0,0,0,0,0,20240415,20241207
200,0,0,0,0,0,0,1,20240415,20241207
201,0,0,0,0,0,0,0,20240415,20241207
202,0,0,0,0,0,0,0,20240415,20241207
203,0,0,0,0,0,0,0,20240415,20241207
204,0,0,0,0,0,0,0,20240415,20241207
205,0,0,0,0,0,0,0,20240415,20241207
206,0,0,0,0,0,0,0,20240415,20241207
207,0,0,0,0,0,0,0,20240415,20241207
208,0,0,0,0,0,0,0,20240415,20241207
209,0,0,0,0,1,0,0,20240415,20241207
