service_id,exception_type,date
10045,1,20240515
10045,1,20240516
10047,1,20240520
10047,1,20240531
10048,2,20240509
10048,2,20240526
10048,2,20240601
10048,2,20240602
10049,2,20240508
1005,1,20240508
1005,1,20240529
1005,1,20240530
10050,1,20240511
10050,1,20240529
10050,1,20240531
10050,1,20240603
10050,1,20240604
10051,2,20240522
10051,2,20240523
10051,2,20240524
10052,1,20240520
10052,1,20240530
10052,2,20240511
10052,2,20240512
10053,1,20240523
10053,1,20240527
10053,2,20240514
10053,2,20240515
10053,2,20240525
10054,1,20240505
10054,1,20240526
10054,1,20240530
10054,1,20240601
10054,1,20240602
10054,2,20240507
10054,2,20240508
10054,2,20240513
10054,2,20240518
10054,2,20240523
10054,2,20240524
10055,1,20240505
10057,1,20240508
10057,1,20240529
10057,2,20240527
10057,2,20240528
10058,1,20240508
10058,1,20240509
10058,1,20240520
10059,1,20240516
10059,1,20240523
1006,1,20240601
10060,1,20240510
10060,2,20240509
10060,2,20240520
10062,2,20240519
10062,2,20240520
10062,2,20240521
10063,2,20240517
10064,1,20240513
10064,1,20240514
10064,1,20240515
10064,1,20240516
10064,1,20240517
10065,1,20240511
10065,1,20240604
10065,2,20240506
10065,2,20240514
10065,2,20240515
10065,2,20240519
10067,1,20240509
10067,1,20240526
10068,1,20240509
10068,1,20240510
10068,1,20240520
10069,1,20240531
1007,1,20240507
1007,1,20240509
1007,1,20240514
1007,2,20240527
10070,1,20240525
10071,1,20240529
10071,1,20240530
10071,1,20240604
10072,2,20240529
10073,1,20240510
10073,1,20240525
10073,1,20240526
10073,1,20240527
10073,1,20240528
10073,1,20240529
10073,1,20240530
10074,1,20240507
10074,1,20240509
10074,1,20240510
10074,1,20240522
10074,1,20240524
10074,1,20240527
10074,1,20240602
10076,1,20240505
10076,1,20240524
10076,1,20240603
10076,1,20240604
10077,1,20240529
10077,2,20240510
10078,1,20240517
10078,1,20240524
10078,1,20240527
10078,1,20240528
10078,1,20240529
10079,1,20240505
10079,1,20240511
10079,1,20240516
10079,1,20240523
10079,2,20240520
10079,2,20240531
1008,1,20240526
1008,1,20240603
1008,1,20240604
1008,2,20240511
1008,2,20240512
1008,2,20240513
10080,1,20240529
10080,1,20240531
10080,1,20240603
10080,1,20240604
10081,1,20240509
10081,1,20240520
10081,2,20240529
10081,2,20240531
10082,1,20240507
10083,1,20240505
10083,1,20240510
10083,1,20240512
10083,1,20240517
10083,2,20240520
10083,2,20240530
10084,1,20240509
10084,1,20240526
10085,2,20240522
10086,1,20240511
10086,1,20240524
10086,1,20240525
10087,1,20240507
10087,1,20240516
10088,1,20240510
10088,1,20240521
10089,1,20240513
10089,1,20240531
1009,1,20240510
1009,1,20240517
1009,2,20240523
1009,2,20240527
10090,2,20240530
10090,2,20240531
10093,1,20240510
10093,1,20240521
10093,1,20240522
10093,1,20240527
10093,1,20240528
10093,1,20240531
10094,1,20240513
10094,1,20240520
10095,1,20240520
10095,2,20240507
10095,2,20240529
10097,1,20240505
10097,1,20240512
10097,1,20240530
10098,2,20240509
10098,2,20240510
10098,2,20240521
10099,1,20240604
10099,2,20240530
101,2,20240513
101,2,20240521
1010,1,20240507
1010,1,20240508
1010,1,20240510
1010,1,20240514
1010,1,20240515
1010,2,20240523
1010,2,20240527
10101,2,20240529
10102,1,20240509
10102,1,20240530
10102,1,20240602
10103,1,20240509
10103,1,20240512
10103,1,20240520
10104,1,20240520
10104,1,20240521
10104,1,20240531
10106,2,20240510
10106,2,20240511
10106,2,20240512
10106,2,20240513
10107,1,20240516
10107,1,20240519
10107,1,20240523
10107,1,20240526
10107,2,20240520
10108,1,20240505
10108,1,20240509
10108,1,20240512
10108,1,20240523
10109,1,20240519
10109,1,20240520
10109,1,20240526
10109,1,20240603
10109,1,20240604
1011,1,20240510
1011,1,20240511
1011,1,20240513
1011,1,20240514
1011,1,20240515
1011,1,20240520
1011,2,20240523
10110,1,20240511
10110,1,20240525
10110,1,20240604
10110,2,20240506
10110,2,20240514
10110,2,20240515
10110,2,20240519
10111,1,20240525
10111,1,20240526
10112,1,20240506
10112,1,20240510
10112,2,20240514
10112,2,20240515
